Group1_Delta,Group2_Delta,Group3_Delta,Group4_Delta,Cluster
0.0,0.13,0.0,0.13,0
0.0,0.11,0.0,0.11,0
0.0,0.1,0.0,0.1,0
0.0,0.06,0.0,0.06,0
0.0,0.01,0.0,0.01,0
0.0,-0.18,0.0,-0.18,4
0.0,-0.24,0.0,-0.24,1
0.0,0.41,0.0,0.41,2
0.0,-0.3,0.0,-0.3,1
0.0,-0.3,0.0,-0.3,1
0.0,0.59,0.0,0.59,5
0.0,-0.18,0.0,-0.18,4
0.0,-0.22,0.0,-0.22,1
0.0,-0.21,0.0,-0.21,1
0.0,-0.18,0.0,-0.18,4
0.0,0.62,0.0,0.62,5
0.0,-0.15,0.0,-0.15,4
0.0,-0.09,0.0,-0.09,4
0.0,-0.03,0.0,-0.03,4
0.0,0.1,0.0,0.1,0
0.0,0.18,0.0,0.18,0
0.0,0.21,0.0,0.21,2
0.0,-0.5,0.0,-0.5,3
0.0,0.48,0.0,0.48,5
0.0,0.46,0.0,0.46,5
0.0,-0.32,0.0,-0.32,1
0.0,-0.24,0.0,-0.24,1
0.0,-0.21,0.0,-0.21,1
0.0,0.65,0.0,0.65,5
0.0,0.06,0.0,0.06,0
0.0,0.17,0.0,0.17,0
0.0,-0.36,0.0,-0.36,1
0.0,0.5,0.0,0.5,5
0.0,-0.01,0.0,-0.01,4
0.0,-0.45,0.0,-0.45,3
0.0,0.39,0.0,0.39,2
0.0,-0.05,0.0,-0.05,4
0.0,-0.48,0.0,-0.48,3
0.0,0.39,0.0,0.39,2
0.0,-0.18,0.0,-0.18,4
0.0,0.5,0.0,0.5,5
0.0,-0.12,0.0,-0.12,4
0.0,-0.08,0.0,-0.08,4
0.0,0.02,0.0,0.02,0
0.0,0.09,0.0,0.09,0
0.0,-1.0,0.0,-1.0,3
0.0,0.16,0.0,0.16,0
0.0,0.18,0.0,0.18,0
0.0,0.28,0.0,0.28,2
0.0,-0.25,0.0,-0.25,1
0.0,-0.05,0.0,-0.05,4
0.0,0.15,0.0,0.15,0
0.0,-0.45,0.0,-0.45,3
0.0,-0.41,0.0,-0.41,1
0.0,0.53,0.0,0.53,5
0.0,0.63,0.0,0.63,5
0.0,-0.13,0.0,-0.13,4
0.0,-0.14,0.0,-0.14,4
0.0,-0.2,0.0,-0.2,1
0.0,0.6,0.0,0.6,5
0.0,0.66,0.0,0.66,5
0.0,-0.12,0.0,-0.12,4
0.0,-0.13,0.0,-0.13,4
0.0,-0.21,0.0,-0.21,1
0.0,0.4,0.0,0.4,2
0.0,0.27,0.0,0.27,2
0.0,-0.47,0.0,-0.47,3
0.0,0.37,0.0,0.37,2
0.0,0.32,0.0,0.32,2
